"weight","subsid","soc","age","age_grp","region","sex","tenure","mastat","fihhyr2","dfihhyr","dfihhyrchg","saveamount","huresp","hsval","mg1tot","xpmg","intmg","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebeareffsec","brrise","usa","usb","ush","usc","usj","usd","usi","use","usg","us","ustot","xpus","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","forebeareffunsec","billscc","actbillscc1","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc10","actbillscc11","actbillscc8","actbillscc9","hscntcr1","hscrchg","hscntcr2","nvesttot","savingch","savebcs1","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savebcs10","savebcs11","savebcs12","savebcs13","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","uncert","uncertch","pubsecty","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act6","fisc11_act5","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact6","fisc_likact5","jbstat","xphsdf","xphpdf"
0.880255234,20848172,"E",75,"65+","North West","Male","Owned outright","marrried or couple","don't know","don't know","don't know","none","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","not applicable","no","refused","refused",,,,,,,,,,,,,,,,,,,,"don't know","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","no","no","yes","no","no",,,,,,,"retired","no","not applicable"
1.06429478,21311356,"C1",69,"65+","Scotland","Male","Owned outright","widowed/divorced/separated","£17,500-£24,999","£700-£799","no change","£400-£449","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","£10,000 - £12,499","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"good idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","no","no","yes","no","no",,,,,,,"retired","no","not applicable"
0.959107603,20457748,"C2",23,"18 - 24","North West","Male","Owned mortgage","never married","£30,000-£39,999","don't know","don't know","none","no","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","not applicable","no","don't know","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"vague idea","no change","no","no","no","no","no","no","no","yes","no",,,,,,,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","self employed","no","not applicable"
0.712528226,21469683,"E",58,"55 - 64","East Anglia","Male","Owned outright","marrried or couple","£13,500-£15,499","refused","down >£100","don't know","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","no","no","no","no","no","yes","<£200","<£10","no","no","no","no","yes",,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","refused","don't know",,,,,,,,,,,,,,,,,,,,"good idea","less certain","no","no","no","no","yes","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","no","no","unemployed","no","no"
1.22375031,22870060,"A",68,"65+","South East","Male","Owned outright","marrried or couple","£15,500-£17,499","£400-£499","no change","150-£199","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","refused","don't know",,,,,,,,,,,,,,,,,,,,"vague idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"yes","no","yes","yes","no","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","retired","no","not applicable"
0.877379616,22743541,"D",55,"55 - 64","South West","Male","Owned outright","marrried or couple","£17,500-£24,999","£200-£299","down <£50","£25-£49","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"yes","no","no","no","no","no","no","no","no","yes","£200-£499","£30-£39","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","yes","no","no","no","harder","no","£15,000 - £17,499","Decrease by less than £50 a month",,,,,,,,,,,,,,"no","yes","no","no","no","no","good idea","less certain","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","in paid employ","no","somewhat"
1.18830942,22067397,"A",67,"65+","South West","Male","Owned outright","marrried or couple","£75,000-£99,999","£2,000-£2,999","up £50-£100","£1,000-£1,499","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no",">=£150,000","Increase by £100-£149 a month","no","no","no","no","no","no","yes","no","no","no","no","no","no",,,,,,,"good idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","retired","no","not applicable"
1.09008642,21361613,"B",77,"65+","South East","Female","Owned outright","marrried or couple","refused","refused","down £50-£100","refused","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","refused","don't know",,,,,,,,,,,,,,,,,,,,"vague idea","no change","no","no","no","no","no","no","no","yes","no",,,,,,,"no","no","no","no","no","no","yes","no",,,,,,,"retired","no","not applicable"
0.743864417,21616716,"E",58,"55 - 64","North West","Female","Owned mortgage","widowed/divorced/separated","£25,000-£29,999","600-£699","down £50-£100","£50-£99","yes","£125,000-£149,999","£10,000-£19,999","£200-£249","fixed","no","no","no","no","no","no","no","yes",,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","not applicable","no","£3,000 - £3,999","don't know",,,,,,,,,,,,,,,,,,,,"good idea","less certain","no","yes","no","no","yes","yes","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no","no","in paid employ","no","not applicable"
0.810471503,23240118,"C1",20,"18 - 24","East Anglia","Female","Private rented","marrried or couple","£17,500-£24,999","£300-£399","down >£100","£50-£99","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","no","no","no","no","no","yes","don't know","<£10","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","yes","no","no","yes","harder","yes","£1,000 - £1,999","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"no idea","less certain","no","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no","no","no","yes","no","yes","yes","no","no","FT student","yes","no"
1.07841915,20884282,"C2",45,"45 - 54","North West","Male","Owned mortgage","marrried or couple","£30,000-£39,999","£300-£399","down <£50","<=25","yes","£125,000-£149,999","£70,000-£79,999","£550-£599","base rate tracker","no","no","no","no","no","no","no","yes",,"£200-299","no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","yes","no","no","no","no","not applicable","no","£1,000 - £1,999","don't know",,,,,,,,,,,,,,,,,,,,"vague idea","no change","yes","no","no","no","no","no","yes","no","no",,,,,,,"no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","in paid employ","no","not applicable"
0.80736381,23403709,"E",23,"18 - 24","Wales","Female","Owned mortgage","never married","£25,000-£29,999","£200-£299","no change","<=25","no","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","yes","yes","yes","no","yes","no","no","yes","£1,000-£1,499","£20-£29","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","the same","no","None","Increase by £50-£99 a month","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",,,,,,,"good idea","no change","yes","no","no","no","no","no","yes","no","no",,,,,,,"no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no",,"no","somewhat"
0.840785821,21673452,"E",69,"65+","Yorkshire & Humberside","Female","Local authority rented","marrried or couple","£13,500-£15,499","<=199","don't know","refused","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","refused","don't know",,,,,,,,,,,,,,,,,,,,"vague idea","don't know","no","no","no","no","no","no","no","yes","no",,,,,,,"no","no","no","no","no","no","yes","no",,,,,,,"retired","no","not applicable"
1.25729951,23045781,"C2",66,"65+","South East","Male","Private rented","never married","£25,000-£29,999","£200-£299","down <£50","£100-£149","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","not applicable","no","£25,000 - £29,999","don't know",,,,,,,,,,,,,,,,,,,,"no idea","less certain","no","no","no","yes","yes","yes","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","self employed","no","not applicable"
0.918175464,21926193,"E",24,"18 - 24","South East","Male","Private rented","never married","£17,500-£24,999","don't know","down >£100","£50-£99","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","yes","yes","yes","no","no","yes","£25,000-£29,999","£100-£119","don't know","don't know","don't know","don't know","don't know",,"don't know","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","don't know","the same","don't know","£6,000 - £6,999","don't know",,,,,,,,,,,,,,,,,,,,"don't know","don't know","don't know","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","in paid employ","yes","heavy"
0.81559421,22107290,"D",22,"18 - 24","Yorkshire & Humberside","Male","Owned outright","never married","refused","refused","no change","refused","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","no","no","yes","no","no","yes","refused","refused","refused","refused","refused","refused","refused",,"refused","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","refused","refused","refused","refused","refused",,,,,,,,,,,,,,,,,,,,"refused","refused","refused","no","no","no","no","no","no","yes","no",,,,,,,"no","no","no","no","no","no","yes","no",,,,,,,"FT student","yes","somewhat"
0.975096832,21277917,"E",69,"65+","South East","Male","Local authority rented","widowed/divorced/separated","£9,500-£11,499","<=199","down <£50","none","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","yes","no","yes","no","no","no","no","yes","yes","£4,500-£4,999","£80-£89","yes","no","no","no","no","I would be behind on my loan payments","keeping up, constant struggle","no","no","no","no","no","yes","no","no","no","no","no","no","not applicable","no","None","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"good idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","no","no","yes","no","no",,,,,,,"retired","no","somewhat"
1.08517935,22238665,"C2",18,"18 - 24","Wales","Female","Private rented","never married","£40,000-£49,999","£400-£499","down >£100","£50-£99","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","yes","no","no","yes","£4,000-£4,499","£20-£29","no","no","no","no","yes",,"keeping up, constant struggle","no","no","no","no","no","yes","yes","no","no","no","no","yes","harder","no","£1,000 - £1,999","Decrease by less than £50 a month",,,,,,,,,,,,,,"no","yes","no","no","no","no","vague idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","yes","no","yes","yes","no","no","no","yes","no","yes","yes","no","no","FT student","no","somewhat"
0.907251908,20745113,"C1",67,"65+","East Anglia","Male","Owned outright","marrried or couple","£17,500-£24,999","£500-£599","no change","£450-£499","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","no","no","no","no","no","yes","£2,500-£2,999",">=£500","no","no","no","no","yes",,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","£35,000 - £39,999","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"good idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","retired","no","no"
0.943188329,20605059,"B",61,"55 - 64","Yorkshire & Humberside","Female","Owned outright","marrried or couple","£25,000-£29,999","£1,000-£1,199","no change","£100-£149","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","yes","no","yes","no","no","no","no","yes","yes","£1,000-£1,499","£50-£59","no","no","no","no","yes",,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","the same","no","£5,000 - £5,999","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"good idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","no","no","yes","no","no",,,,,,,"retired","no","no"
0.750395963,20004722,"C1",56,"55 - 64","East Anglia","Female","Owned outright","widowed/divorced/separated","£9,500-£11,499","<=199","down <£50","none","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","yes","no","no","no","no","yes","<£200","don't know","no","no","no","no","yes",,"keeping up, constant struggle","no","no","no","no","no","yes","yes","no","no","no","no","no","not applicable","no","£10,000 - £12,499","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"no idea","less certain","don't know","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no","no","in paid employ","no","somewhat"
0.797139085,22833192,"E",68,"65+","East Anglia","Male","Owned outright","marrried or couple","£17,500-£24,999","£300-£399","down £50-£100","£100-£149","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","not applicable","no","£10,000 - £12,499","don't know",,,,,,,,,,,,,,,,,,,,"good idea","less certain","no","no","no","no","no","no","no","yes","no",,,,,,,"no","no","no","no","no","yes","no","no",,,,,,,"retired","no","not applicable"
1.12727022,21923221,"C2",21,"18 - 24","Wales","Female","Private rented","marrried or couple","£17,500-£24,999","<=199","down >£100","£25-£49","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"yes","no","no","no","no","no","no","no","no","yes","£1,000-£1,499","£30-£39","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","yes","yes","no","no","no","yes","not applicable","don't know","<£500","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"vague idea","less certain","no","no","no","no","no","no","yes","no","no",,,,,,,"no","yes","no","yes","yes","no","no","no","yes","no","yes","yes","no","no","in paid employ","yes","somewhat"
1.077314,22776989,"E",69,"65+","West Midlands","Male","Private rented","marrried or couple","£11,500-£13,499","<=199","don't know","£50-£99","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","don't know","not applicable","no","£4,000 - £4,999","don't know",,,,,,,,,,,,,,,,,,,,"good idea","don't know","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","no","no","no","yes","no",,,,,,,"retired","no","not applicable"
1.03536241,22628306,"C2",28,"25 - 34","West Midlands","Male","Owned mortgage","marrried or couple","£30,000-£39,999","£800-£899","no change","£25-£49","no","not applicable","not applicable","not applicable","not applicable","no","no","no","no","no","no","no","yes",,,"no","yes","yes","yes","no","no","no","no","no","yes","£3,000-£3,499","£90-£99","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","yes","no","no","no","no","harder","don't know","£6,000 - £6,999","Increase by £50-£99 a month","no","no","no","no","no","no","no","no","no","no","yes","yes","no",,,,,,,"vague idea","no change","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","in paid employ","no","somewhat"
0.899355067,22126860,"E",74,"65+","North West","Male","Owned mortgage","marrried or couple","£9,500-£11,499","600-£699","down >£100","none","yes","£125,000-£149,999","£50,000-£59,999","£250-£299","other","no","no","no","no","no","no","no","yes",,,"no","no","no","yes","yes","no","no","no","no","yes","£1,500-£1,999","£50-£59","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","the same","no","£2,000 - £2,999","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"good idea","less certain","no","no","no","no","no","no","no","yes","no",,,,,,,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","retired","no","somewhat"
0.831413,23449008,"E",59,"55 - 64","East Midlands","Male","Owned outright","marrried or couple","refused","£200-£299","down £50-£100","none","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, constant struggle","no","no","no","no","no","yes","yes","no","no","no","no","don't know","not applicable","no","refused","don't know",,,,,,,,,,,,,,,,,,,,"no idea","less certain","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","retired","no","not applicable"
0.902766995,23281531,"C2",20,"18 - 24","West Midlands","Female","Owned mortgage","never married","£17,500-£24,999","£200-£299","don't know","none","no","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","yes","no","no","no","no","yes","<£200","<£10","don't know","don't know","don't know","don't know","don't know",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","no","no","no","harder","no","<£500","Increase by less than £50 a month","no","no","no","no","no","no","yes","yes","yes","no","yes","no","no",,,,,,,"don't know","less certain","no","no","no","no","no","yes","no","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","no","yes","yes","no","no","in paid employ","no","somewhat"
